business_phone_number,description,career_page,organization_type,geographical_area,company_type,business_website_address,year_founded,headquarters,size_range,address,organization
(858) 412-1704,    ,,Privately Held,Greater San Diego Area,Research Products,http://electronicbio.com/,2002,"San Diego, California", 11-50,,Electronic BioSciences
1 (858) 486-0207,    ,,Privately Held,Greater San Diego Area,Research Products,http://emcalscientific.com,1986,"San Diego, California", 1-10,,"EmCal Scientific, Inc."
858.597.4990,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.lilly.com,1876,"Indianapolis, Indiana",10001+,,Eli Lilly
 (858) 876-1814,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://elcelyx.com,2010,"San Diego, California", 1-10,,Elcelyx
,    ,,privately Held,Greater San Diego Area,Therapeutics,http://effector.com,,"San Diego, California", 1-10,,"eFFECTOR Therapeutics, Inc."
,,,Privately Held,Greater San Diego Area,"Drug Development,Research Services",http://www.ecalab.com,1994,"San Diego, California",1-10,,Ecalab
,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.clinmet.com/,2011,"San Diego, California", 1-10,,ClinMet
,    ,,Privately Held,Greater San Diego Area,Software,http://edicogenome.com/,2013,"San Diego, California", 1-10,,Edico Genome
,    ,http://www.ebioscience.com/about/ebioscience-careers.htm,Public Company,Greater San Diego Area,Research Products,http://www.ebioscience.com,1999,San Francisco,1001-5000,,Ebioscience (Affymetrix)
18003508202,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.clinicomp.com,1983,"San Diego, California",51-200,,Clinicomp
(858) 450-0008,    ,,Privately Held,Greater San Diego Area,Green technology,http://www.cibus.com,2001,"San Diego, California", 11-50,,Cibus
858-458-8800,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://ceregene.com,2001,(Acquired by Sangamo 2013),,,Ceregene
858-875-8800,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://celula-inc.com,2005,"San Diego, California", 11-50,,Celula Inc.
858-794-4860,    ,,Privately Held,Greater San Diego Area,Research Services,http://us.chemdiv.com/,1990,"San Diego, California",501-1000,,"Chemdiv, Inc."
 858.451.7400,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.chembridge.com,1993,"San Diego, California",201-500,,Chembridge Corporation
888.876.4287 ,    ,http://www.carefusion.com/careers/Job-Search.aspx,Public Company,Greater San Diego Area,Medical Products,http://www.carefusion.com,2009,"San Diego, California",10001+,,Carefusion
 858.729.6500,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.cebix.com,2008,"La Jolla, California", 1-10,,Cebix
877.208.5070,    ,http://cellana.com/about-us/careers/,Privately Held,Greater San Diego Area,Green technology,http://cellana.com,,"San Diego, California and Hawaii",,,Cellana
(858) 436-1000,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.cardiumthx.com,,"San Diego, California", 11-50,,"Cardium Therapeutics, Inc."
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://califiabio.com,2008,"San Diego, California", 1-10,,Califia Bio
858-952-5500,    ,http://www.calcimedica.com/careers.html,Privately Held,Greater San Diego Area,Therapeutics,http://www.calcimedica.com,,"San Diego, California", 11-50,,Calcimedica
(858) 455-6100,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.calchemsynthesis.com,,"San Diego, California", 1-10,,CalChem Synthesis
(619) 660-6162,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.calbiotech.com/,,"San Diego, California", 11-50,,CalBiotech
(858) 587-8800,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.calasiapharma.com/,,"San Diego, California", 1-10,,CalAsia Pharmaceuticals
858-527-7000,    ,,Public Company,Greater San Diego Area,Research Products,http://www.nexusbio.com,2011,"Chelmsford, MA",,,Brooks Life Science Systems
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.bpsbioscience.com,,"San Diego, California", 11-50,,BPS Bioscience
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.cellapplications.com,1994,"San Diego, California", 11-50,,"Cell Applications, Inc."
858-613-1200 x 275,"Development and manufacturing of instruments, sample-prep automation and medical products. ISO 13485",,Privately Held,,"Diagnostics,Medical Devices,Medical Products",http://www.group-bit.com/,1974,Germany,201-500,,"BIT Group USA, Inc."
,    ,http://search1.smartsearchonline.com/cadence/jobs/adhocjobsearch.asp,Public Company,Greater San Diego Area,Therapeutics,http://www.cadencepharm.com,2004,"San Diego, California",201-500,,Cadence Pharmaceuticals
888.330.2396,    ,,,Greater San Diego Area,Research Products,http://biotix.com,2005,"San Diego, California",501-1000,,Biotix
,    ,,,Greater San Diego Area,Diagnostics,http://www.biotheranostics.com,2008,"San Diego, California",,,bioTheranostics
(858) 605-5882,    ,http://www.biotoxsciences.com/index.php?q=Careers,Privately Held,Greater San Diego Area,Drug Development,http://biotoxsciences.com/,,"San Diego, California", 11-50,,Biotox Sciences
,    ,,Privately Held,Greater San Diego Area,Software,http://www.biosoftintegrators.com/,2012,"La Mesa, California", 1-10,,BioSoft Integrators
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.biosurplus.com/,2002,"San Diego, California", 11-50,,BioSurplus
(858) 880-7376,    ,,Privately held,Greater San Diego Area,Research Products,http://biosero.com/,2003,"San Diego, California", 11-50,,"BioSero, LLC"
(858) 679-9600,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.bio-scan.com/,1980,"washington, DC", 1-10,,Bioscan
,    ,http://www.biopointescientific.com/Articles.asp?ID=134,Privately Held,Greater San Diego Area,Research Products,http://www.biopointescientific.com/,2007,"La Jolla, California", 11-50,,BioPointe Scientific
,    ,,Privately Held,Greater San Diego Area,Drug Development,http://www.bioservamerica.com,1988,"San Diego, California",,,Bioserv
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://bioneur.com,2011,"Carlsbad, California", 1-10,,Bioneur
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.bionanogenomics.com,2003,"San Diego, California", 11-50,,"BioNano Genomics, Inc."
(858) 586-1888,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://biomedicure.com/,2005,"San Diego, California", 1-10,,BioMedicure
(858) 657-0005,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.biopeptide.com/,1999,"San Diego, California", 1-10,,Biopeptide Co.
 (858) 457-3658,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.biomyx.net,,"San Diego, California", 1-10,,Biomyx
858-558-0708,    ,,Privately Held,Greater San Diego Area,Research Services,http://biolaurus.com,2008,"San Diego, California", 1-10,,Biolaurus
,    ,,,Greater San Diego Area,Research Services,http://www.bioduro.com/,2005,China,501-1000,,BioDuro
760-420-0552 ,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.biogrammatics.com/,2008,"San Diego, California", 1-10,,Biogrammatics
,    ,,,Greater San Diego Area,Research Services,http://bioblocks.com,2002,"San Diego, California", 11-50,,BioBlocks
858-558-0708,,,Privately Held,Greater San Diego Area,"Drug Development,Research Products",http://bioatla.com,2007,"San Diego, California",51-200,,Bioatla
858-455-0300,    ,,,Greater San Diego Area,Association,http://www.biocom.org,1991,"San Diego, California", 11-50,,Biocom Institute
,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.avelasbio.com,,"San Diego, California", 1-10,,Avelas Bio
,    ,,Privately Held,Greater San Diego Area,Biotechnology,http://biotechnbeyond.com,2013,"Carlsbad, California", 1-10,,"Bio, Tech and Beyond"
,    ,http://www.biocept.com/job-descriptions-open-positions,Privately Held,Greater San Diego Area,Diagnostics,http://biocept.com,1993,"San Diego, California", 11-50,,Biocept
 (858) 768-8107,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://avantgen.com,,"San Diego, California", 1-10,,Avantgen Inc.
  1-866-7828-639,,http://www.autogenomics.com/careers.php,Privately Held,Greater San Diego Area,"Diagnostics,Medical Devices",http://www.autogenomics.com/,1999,"Carlsbad, California",51-200,,Autogenomics
858-558-2400,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.auspexpharma.com,,"La Jolla, California",,,Auspex Pharma
858-558-2400,    ,,,Greater San Diego Area,Therapeutics,http://www.auspexpharma.com,,"La Jolla, California", 1-10,,Auspex Pharmaceuticals
858-731-8389 ,    ,http://www.atyrpharma.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://www.atyrpharma.com,,"San Diego, California", 11-50,,aTyr Pharma
(866) 25-AUDIT,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.auditmicro.com/,2002,"Carlsbad, California", 11-50,,Audit MicroControls
877.644.3044 x201,Assay Depot,,Privately Held,Greater San Diego Area,"Research Services,Software",https://www.assaydepot.com/,2007,"San Diego, California", 1-10,,Assay Depot
619-469-0108,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.aspire-irb.com/,2004,"Santee, California", 11-50,,"Aspire IRB, LLC"
(858) 638-0488,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.batj.net/,2001,"San Diego, California", 1-10,,Bio Applied Technologies Joint (BATJ)
(858) 792-3544,    ,http://us.astutemedical.com/careers,Privately Held,Greater San Diego Area,Medical Devices,http://us.astutemedical.com/,2007,"San Diego, California", 11-50,,Astute Medical
 (858) 729-0876    ,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.behavioralpharma.com,,"Solana Beach, California",,,Behavioral Pharma
(858) 259-9528,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.azcobiotech.com/,2003,"Oceanside, California", 11-50,,"Azco Biotech, Inc."
 888.436.3646 ,,http://www.bd.com/us/careers/jobs.asp,,Greater San Diego Area,"Diagnostics,Medical Devices,Research Products",http://www.bd.com,,New Jersey,,,BD Biosciences
,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.baysfour.com/,2013,"La Jolla, California", 1-10,,Bays Four
(858) 552-0888,    ,http://avivabio.com/company/careers.php,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.avivabio.com/,1997,"San Diego, California", 11-50,,AVIVA BioSciences
858-552-6979,    ,http://www.avivasysbio.com/careers,Privately Held,Greater San Diego Area,Research Products,http://www.avivasysbio.com/,2002,"San Diego, California",51-200,,Aviva Systems Biology
 (858) 458-1890,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://axikin.com,2009,"San Diego, California", 1-10,,Axikin
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://avineuro.com,2008,"San Diego, California", 1-10,,Avineuro
 (877) 889-2288,    ,,Privately Held,Greater San Diego Area,Research Products,http://atsbio.com,1994,"San Diego, California", 1-10,,Advanced Targeting Systems
(858) 875-2260,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.advancedparticletherapy.com/,,"San Diego, California", 1-10,,Advanced Particle Therapy LLC
,    ,,Privately Held,Greater San Diego Area,"Nanotechnology,Therapeutics",http://www.aviditynano.com,2013,"San Diego, California", 1-10,,Avidity NanoMedicines
(858) 558-8650,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.advancedcelldynamics.com/,2007,"San Diego, California", 1-10,,Advanced Cellular Dynamics
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.advancedbiomatrix.com,2008,"San Diego, California", 1-10,,Advanced Biomatrix
(760) 720-0099,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://advancedbrainmonitoring.com/,1997,"San Diego, California", 11-50,,Advanced Brain Monitoring
(858)348-7819,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://addexbio.com,2010,"San Diego, California", 1-10,,Addex Bio
877 222 9543,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.activemotif.com/,1999,"Carlsbad, California",51-200,,Active Motif
858-888-7900,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.acris-antibodies.com/,1998,Germany, 11-50,,Acris Antibodies
1-858-875-8000 ,,http://www.aconlabs.com/employment.html,Privately Held,Greater San Diego Area,"Diagnostics,Medical Devices",http://www.aconlabs.com,1995,"San Diego, California",1001-5000,,ACON Laboratories
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://androscience.com,,"San Diego, California", 1-10,,Androscience
(858) 362-6295,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://anaptysbio.com,2005,"San Diego, California", 11-50,,Anaptys Bio
858-552-2200 ,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.bms.com,1987,Owned by Bristol Myers Squibb,1001-5000,,Amylin Pharmaceuticals
(650) 529-0249,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://amplyx.com/,,"San Diego, California", 1-10,,Amplyx
 (858) 875-2400 ,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.ambrx.com,2003,"San Diego, California", 11-50,,"Ambryx, Inc."
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.anamchem.com,,"San Diego, California", 1-10,,AnamChem
858.334.2100,    ,http://www.ambitbio.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://ambitbio.com,2000,"San Diego, California",51-200,,Ambit Biosciences
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.alspinc.com/,,"San Diego, California", 1-10,,"ALSP, Inc."
,    ,http://www.alphatecspine.com/careers.asp,Public Company,Greater San Diego Area,Medical Devices,http://www.alphatecspine.com,1990,"Carlsbad, California",201-500,,Alphatec Spine
,    ,http://www.allylix.com/content/careers,,Greater San Diego Area,Biotechnology,http://allylix.com,2004,"San Diego, California", 11-50,,Allylix
(858) 724-0928,    ,http://www.aceabio.com/employlist.aspx,Privately Held,Greater San Diego Area,Research Products,http://www.aceabio.com/,2002,"San Diego, California", 11-50,,ACEA Biosciences
(760) 787-1122,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.abcore-inc.com/,2011,"Ramona, California", 1-10,,Abcore
(858) 467-9600,    ,http://www.absorption.com/about/careers/,,Greater San Diego Area,Research Services,http://www.absorption.com,,"Exton, PA",,,Absorption Systems
 858.622.0099,Abgent is a large manufacturer of catalog antibodies and a provider of custom antibody services.,,,Greater San Diego Area,"Biotechnology,Research Products,Research Services",http://abgent.com,2001,China (WuXi AppTec),11-50,,Abgent- a WuXi Apptec Company
,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://abdesignlabs.com,2011,"San Diego, California",,,Ab Design Labs
,    ,http://www.abbiotec.com/company/careers,Partnership,Greater San Diego Area,Research Products,http://abbiotec.com,2007,"San Diego, California", 11-50,,Abbiotec
,    ,,Privately Held,Greater San Diego Area,Research Products,http://aaltoscientific.com,1979,"Carlsbad, California", 11-50,,Aalto Scientific
(858) 222-8041,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.apricusbio.com,,"San Diego, California", 11-50,,Apricus BioSciences
,    ,http://www.arcturusrx.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://www.arcturusrx.com,2013,"San Diego, California",,,Arcturus Therapeutics
(858) 369-7600,    ,,,Greater San Diego Area,Therapeutics,http://aragonpharm.com,,(Acquired by Johnson & Johnson), 11-50,,Aragon Pharmaceuticals
 858-654-2555 ,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.anticancer.com/,1984,"San Diego, California", 11-50,,AntiCancer
,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.annovachem.com,,"San Diego, California",,,Annova Chem Inc.
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.appliedproteomics.com,2008,"San Diego, California", 11-50,,Applied Proteomics
(800) 611-3466,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.spectral-imaging.com/,1993,"Carlsbad, California",51-200,,Applied Spectral Imaging
858.678.8843,    ,,Privately Held,Greater San Diego Area,Veterinary Science,http://actcells.com/,2009,"San Diego, California", 1-10,,"Animal Cell Terapies, Inc."
,    ,http://www.allermed.com/careers.html,Privately Held,Greater San Diego Area,Diagnostics,http://allermed.com,1972,"San Diego, California", 11-50,,Allermed Laboratories
 1-888-425-8432,    ,,,Greater San Diego Area,Drug Development,http://altheatech.com,1998,"San Diego, California",201-500,,"Ajinomoto Althea, Inc."
,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://allelebiotech.com,,"San Diego, California",,,Allele Biotech
760.520.0380,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.agility-clinical.com,,"Carlsbad, California", 11-50,,"Agility Clinical, Inc."
858-805-2000,    ,,Public Company,Greater San Diego Area,Diagnostics,http://www.alere.com,1991,"Waltham, MA",5001-10000,,"Alere, Inc."
 (858) 366-9670,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://airespharma.com,2006,"San Diego, California",,,Aires Pharmaceuticals
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://aegisthera.com,,"San Diego, California",,,Aegis Therapeutics
858.750.4700,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.afraxis.com/,2013,"La Jolla, California", 1-10,,Afraxis
(858) 459-7800 x 307,    ,,Public Company,Greater San Diego Area,Medical Devices,http://aethlonmedical.com,1999,"San Diego, California", 1-10,,Aethlon Medical
,    ,,Privately Held,Greater San Diego Area,Research Services,http://advantarlabs.com,2008,"San Diego, California", 11-50,,Advantar Labs
(858)587-9333 ,    ,http://www.harbortx.com/content/?page_id=122,Public Company,Greater San Diego Area,Therapeutics,http://www.harbortx.com/,,"San Diego, California",,,Harbor Therapeutics
,    ,,privately Held,Greater San Diego Area,Software,http://www.inchemdesign.com/,,"san diego, california", 1-10,,Integrated Chemistry Design
858-350-4321,    ,,Partnership,Greater San Diego Area,Software,http://integratedproteomics.com,2008,"San Diego, California", 1-10,,Integrated Proteomics Applications
858.202.4500 ,,http://www.illumina.com/careers/,,Greater San Diego Area,"Diagnostics,Research Products",http://illumina.com,1998,"San Diego, California",1001-5000,,Illumina
,    ,http://ligand.submit4jobs.com/,public company,Greater San Diego Area,Therapeutics,http://www.ligand.com,,"La Jolla, California", 11-50,,Ligand Pharmaceuticals
858 625 0335,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.mappbio.com,2003,"San Diego, California", 1-10,,Mapp Bio
